U;ТП;Sтр-р;Тип;Nтр
6;4423;160;ТМГ;Т 
6;4424;250;ТМГ;Т  
6;0425;400;ТМГ;Т-1  
6;0425;400;ТМГ;Т-2  
6;4426;400;ТМГ;Т-1  
6;4426;400;ТМГ;Т-2  
6;4427;320;ТМГ;Т  
6;4428;320;ТМГ;Т  
6;4429;200;ТМГ;Т-1  
6;4429;630;ТМГ;Т-2 
6;4430;400;ТМГ;Т-1  
6;4430;400;ТМГ;Т-2  
6;4431;400;ТМГ;Т  
6;4432;320;ТМГ;Т  
6;4433;180;ТМГ;Т  
6;4434;400;ТМГ;Т-1  
6;4434;400;ТМГ;Т-2  
6;4434;320;ТМГ;Т-3  
6;4435;630;ТМГ;Т-1  
6;4435;630;ТМГ;Т-2 
6;4436;320;ТМГ;Т
6;4437;630;ТМГ;Т
6;4438;630;ТМГ;Т-1  
6;4438;630;ТМГ;Т-2 
6;4439;315;ТМГ;Т 
6;4440;400;ТМГ;Т 
6;4441;320;ТМГ;Т-1  
6;4441;180;ТМГ;Т-2  
6;4442;250;ТМГ;Т  
6;4443;320;ТМГ;Т-1  
6;4443;630;ТМГ;Т-2 
6;4444;400;ТМГ;Т 
6;4445;380;ТМГ;Т-1  
6;4445;320;ТМГ;Т-2  
6;4446;630;ТМГ;Т-1  
6;4446;630;ТМГ;Т-2 
6;4447;320;ТМГ;Т-1  
6;4447;320;ТМГ;Т-2  
6;4448;250;ТМГ;Т-1  
6;4448;250;ТМГ;Т-2  
6;0449;630;ТМГ;Т-1  
6;0449;630;ТМГ;Т-2 
6;4450;180;ТМГ;Т-1  
6;4450;180;ТМГ;Т-2  
6;4451;180;ТМГ;Т-1  
6;4451;180;ТМГ;Т-2  
6;4452;400;ТМГ;Т  
6;4453;400;ТМГ;Т
6;4454;320;ТМГ;Т 
6;4455;250;ТМГ;Т-1   
6;4455;250;ТМГ;Т-2   
6;4456;315;ТМГ;Т-1  
6;4456;320;ТМГ;Т-2  
6;4457;250;ТМГ;Т  
6;4458;630;ТМГ;Т-1  
6;4458;630;ТМГ;Т-2 
6;4459;400;ТМГ;Т  
6;4460;630;ТМГ;Т-1  
6;4460;630;ТМГ;Т-2 
6;4461;240;ТМГ;Т  
6;4462;630;ТМГ;Т  
6;4463;400;ТМГ;Т  
6;4464;630;ТМГ;Т  
6;4465;320;ТМГ;Т  
6;4466;320;ТМГ;Т  
6;4467;250;ТМГ;Т  
6;4468;160;ТМГ;Т  
6;4469;320;ТМГ;Т-1  
6;4469;320;ТМГ;Т-2  
6;4470;630;ТМГ;Т-1 
6;4470;630;ТМГ;Т-2 
6;4471;320;ТМГ;Т 
6;4472;630;ТМГ;Т-1    
6;4472;630;ТМГ;Т-2 
6;4473;400;ТМГ;Т-1  
6;4473;320;ТМГ;Т-2  
6;4474;400;ТМГ;Т 
6;4475;320;ТМГ;Т-1  
6;4475;320;ТМГ;Т-2  
6;4476;1250;ТМГ11;Т-1  
6;4476;1250;ТМГ11;Т-2  
6;4477;250;ТМГ;Т  
6;4478;630;ТМГ;Т-1  
6;4478;630;ТМГ;Т-2 
6;4479;560;ТМГ;Т-1  
6;4479;560;ТМГ;Т-2  
6;0480;400;ТМГ;Т-1  
6;0480;400;ТМГ;Т-2  
6;0481;1000;ТМГ;Т-1 
6;0481;1000;ТМГ;Т-2 
6;4482;250;ТМГ;Т-1 
6;4482;400;ТМГ;Т-2  
6;4483;630;ТМГ;Т-1 
